year,crime_type,agency,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
2017,property-crime,SD0170000,Davison County Sheriff's Office,DAVISON,SD,South Dakota,43.70087,-98.03686,0,0,0,1,0,3,0,0,0,0,0,4
2017,violent-crime,SD0170000,Davison County Sheriff's Office,DAVISON,SD,South Dakota,43.70087,-98.03686,0,0,1,0,1,0,0,0,0,0,0,2
2017,property-crime,SD0090000,Butte County Sheriff's Office,BUTTE,SD,South Dakota,44.669285,-103.85351,0,6,16,10,9,7,6,3,0,0,0,57
2017,violent-crime,SD0090000,Butte County Sheriff's Office,BUTTE,SD,South Dakota,44.669285,-103.85351,0,0,4,2,0,0,0,0,0,0,0,6
2017,property-crime,SD0330000,Hutchinson County Sheriff's Office,HUTCHINSON,SD,South Dakota,43.33671,-97.749383,0,1,2,2,0,0,0,0,0,0,0,5
2017,violent-crime,SD0330000,Hutchinson County Sheriff's Office,HUTCHINSON,SD,South Dakota,43.33671,-97.749383,0,0,0,0,1,0,0,0,0,0,0,1
2017,property-crime,SD0630300,Alcester Police Department,UNION,SD,South Dakota,42.831106,-96.650829,0,0,0,0,0,0,0,0,0,0,0,0
2017,property-crime,SD0410000,Lincoln County Sheriff's Office,LINCOLN,SD,South Dakota,43.301937,-96.59271,0,6,15,12,10,5,4,2,1,0,0,55
2017,violent-crime,SD0410000,Lincoln County Sheriff's Office,LINCOLN,SD,South Dakota,43.301937,-96.59271,0,1,7,4,2,1,2,0,0,0,0,17
2017,property-crime,SD0130100,Vermillion Police Department,CLAY,SD,South Dakota,42.779583,-96.93651,1,41,39,41,11,2,2,0,0,0,0,137
2017,violent-crime,SD0130100,Vermillion Police Department,CLAY,SD,South Dakota,42.779583,-96.93651,0,8,12,11,5,1,0,1,0,0,0,38
2017,property-crime,SD0540100,Sisseton Police Department,ROBERTS,SD,South Dakota,45.664772,-97.049675,0,17,4,3,3,2,0,0,0,0,0,29
2017,violent-crime,SD0540100,Sisseton Police Department,ROBERTS,SD,South Dakota,45.664772,-97.049675,0,1,3,3,1,0,0,0,0,0,0,8
2017,property-crime,SD0050100,Brookings Police Department,BROOKINGS,SD,South Dakota,44.308067,-96.80033,0,52,47,46,10,4,0,0,0,0,2,161
2017,violent-crime,SD0050100,Brookings Police Department,BROOKINGS,SD,South Dakota,44.308067,-96.80033,0,5,13,10,2,1,1,0,0,0,0,32
2017,violent-crime,SD0350000,Jackson County Sheriff's Office,JACKSON,SD,South Dakota,43.677506,-101.626323,0,0,1,0,0,0,0,0,0,0,0,1
2017,property-crime,SD0660000,Yankton County Sheriff's Office,YANKTON,SD,South Dakota,42.87127,-97.39376,0,31,11,10,7,0,0,0,0,0,0,59
2017,violent-crime,SD0660000,Yankton County Sheriff's Office,YANKTON,SD,South Dakota,42.87127,-97.39376,0,4,1,0,1,2,0,0,0,0,0,8
2017,property-crime,SD0400200,Lead Police Department,LAWRENCE,SD,South Dakota,44.35102,-103.77256,0,2,2,0,0,1,1,0,0,0,0,6
2017,violent-crime,SD0400200,Lead Police Department,LAWRENCE,SD,South Dakota,44.35102,-103.77256,0,1,1,0,0,0,0,0,0,0,0,2
2017,property-crime,SD0660100,Yankton Police Department,YANKTON,SD,South Dakota,43.006607,-97.388339,1,48,58,42,31,5,5,0,0,0,0,190
2017,violent-crime,SD0660100,Yankton Police Department,YANKTON,SD,South Dakota,43.006607,-97.388339,0,7,18,16,10,3,0,1,0,0,0,55
2017,property-crime,SD0580000,Stanley County Sheriff's Office,STANLEY,SD,South Dakota,44.415547,-100.749163,0,6,2,2,1,0,0,0,0,0,0,11
2017,violent-crime,SD0580000,Stanley County Sheriff's Office,STANLEY,SD,South Dakota,44.415547,-100.749163,0,0,2,3,1,0,0,0,0,0,1,7
2017,property-crime,SD0620600,Viborg Police Department,TURNER,SD,South Dakota,43.30867,-97.150185,0,0,1,0,0,0,0,0,0,0,0,1
2017,property-crime,SD0490300,Brandon Police Department,MINNEHAHA,SD,South Dakota,43.667472,-96.795726,0,2,1,1,0,0,1,0,0,0,0,5
2017,property-crime,SD0450000,Marshall County Sheriff's Office,MARSHALL,SD,South Dakota,45.737053,-97.580884,0,2,5,9,1,1,0,2,0,0,0,20
2017,violent-crime,SD0450000,Marshall County Sheriff's Office,MARSHALL,SD,South Dakota,45.737053,-97.580884,0,2,5,2,2,1,0,0,0,0,0,12
2017,property-crime,SD0150000,Corson County Sheriff's Office,CORSON,SD,South Dakota,45.69834,-101.176017,0,2,5,4,5,0,0,0,0,0,0,16
2017,violent-crime,SD0150000,Corson County Sheriff's Office,CORSON,SD,South Dakota,45.69834,-101.176017,0,0,0,0,2,0,0,0,0,0,0,2
2017,property-crime,SD0020000,Beadle County Sheriff's Office,BEADLE,SD,South Dakota,44.418265,-98.279422,0,0,1,2,2,0,0,0,0,0,4,9
2017,violent-crime,SD0020000,Beadle County Sheriff's Office,BEADLE,SD,South Dakota,44.418265,-98.279422,0,0,1,1,0,0,0,0,0,0,0,2
2017,property-crime,SD0410500,Tea Police Department,LINCOLN,SD,South Dakota,43.27942,-96.722286,0,10,10,19,5,1,0,0,0,0,1,46
2017,violent-crime,SD0410500,Tea Police Department,LINCOLN,SD,South Dakota,43.27942,-96.722286,0,1,1,2,0,0,0,0,0,0,0,4
2017,property-crime,SD0330400,Tripp Police Department,HUTCHINSON,SD,South Dakota,43.33671,-97.749383,0,0,0,0,0,0,0,0,0,0,0,0
2017,violent-crime,SD0330400,Tripp Police Department,HUTCHINSON,SD,South Dakota,43.33671,-97.749383,0,1,0,0,0,0,0,0,0,0,0,1
2017,property-crime,SD0460200,Faith Police Department,MEADE,SD,South Dakota,44.60521,-102.714139,0,0,2,1,0,0,0,0,0,0,0,3
2017,property-crime,SD0630400,Jefferson Police Department,UNION,SD,South Dakota,42.831106,-96.650829,0,0,0,0,0,0,0,0,0,0,0,0
