crime_type,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
property-crime,Pampa Police Department,GRAY,TX,Texas,35.402542,-100.812374,0,66,144,94,71,37,14,1,1,0,522,950
violent-crime,Pampa Police Department,GRAY,TX,Texas,35.402542,-100.812374,0,18,30,26,12,7,2,0,0,0,27,122
property-crime,Littlefield Police Department,LAMB,TX,Texas,34.068861,-102.34801800000001,0,14,20,23,7,7,0,0,0,0,50,121
violent-crime,Littlefield Police Department,LAMB,TX,Texas,34.068861,-102.34801800000001,0,14,8,6,4,5,1,0,0,0,2,40
property-crime,Lampasas Police Department,LAMPASAS,TX,Texas,31.196731,-98.240889,0,18,14,30,4,7,1,1,0,0,15,90
violent-crime,Lampasas Police Department,LAMPASAS,TX,Texas,31.196731,-98.240889,0,6,2,3,4,1,1,0,0,0,2,19
property-crime,Whitehouse Police Department,SMITH,TX,Texas,32.375106,-95.268743,0,14,5,1,5,2,8,0,0,0,62,97
violent-crime,Whitehouse Police Department,SMITH,TX,Texas,32.375106,-95.268743,0,11,6,8,6,1,0,2,0,0,2,36
property-crime,Bellmead Police Department,MCLENNAN,TX,Texas,31.589613,-97.10078,0,94,203,100,50,33,5,1,0,0,290,776
violent-crime,Bellmead Police Department,MCLENNAN,TX,Texas,31.589613,-97.10078,0,20,47,53,22,18,5,0,0,0,26,191
property-crime,Cleburne Police Department,JOHNSON,TX,Texas,32.379784,-97.364952,0,170,160,113,50,33,9,2,0,0,449,986
violent-crime,Cleburne Police Department,JOHNSON,TX,Texas,32.379784,-97.364952,0,17,18,9,9,3,3,0,1,0,18,78
property-crime,Burnet Police Department,BURNET,TX,Texas,30.78963,-98.201187,0,24,16,14,5,6,3,1,0,0,67,136
violent-crime,Burnet Police Department,BURNET,TX,Texas,30.78963,-98.201187,0,8,7,10,1,2,0,0,0,0,1,29
