crime_type,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
violent-crime,Bellevue Police Department,EATON,MI,Michigan,42.444904,-85.01814,0,1,0,0,0,0,0,0,0,0,0,1
property-crime,East Jordan Police Department,CHARLEVOIX,MI,Michigan,45.513164,-85.45039200000001,1,4,6,4,2,1,0,0,0,0,1,19
violent-crime,East Jordan Police Department,CHARLEVOIX,MI,Michigan,45.513164,-85.45039200000001,0,2,1,1,0,0,0,0,0,0,0,4
property-crime,Paw Paw Police Department,VAN BUREN,MI,Michigan,42.283986,-86.305696,0,23,21,27,20,15,5,0,0,0,10,121
violent-crime,Paw Paw Police Department,VAN BUREN,MI,Michigan,42.283986,-86.305696,0,5,5,6,1,1,0,0,0,0,0,18
property-crime,Macomb County Sheriff's Office,MACOMB,MI,Michigan,42.615916999999996,-82.886955,1,104,200,155,67,44,7,4,0,0,1006,1588
violent-crime,Macomb County Sheriff's Office,MACOMB,MI,Michigan,42.615916999999996,-82.886955,1,62,74,63,48,32,7,5,0,0,61,353
property-crime,Carson City Police Department,MONTCALM,MI,Michigan,43.312782,-85.149468,0,2,2,0,4,0,0,0,0,1,5,14
violent-crime,Carson City Police Department,MONTCALM,MI,Michigan,43.312782,-85.149468,0,0,0,0,0,0,0,0,0,0,1,1
property-crime,State Police: Branch County,BRANCH,MI,Michigan,41.956272,-84.99932,3,26,37,28,8,7,4,2,0,0,0,115
violent-crime,State Police: Branch County,BRANCH,MI,Michigan,41.956272,-84.99932,0,3,9,14,8,4,2,0,0,0,0,40
property-crime,Crawford County Sheriff's Office,CRAWFORD,MI,Michigan,44.659943,-84.71715,0,10,7,9,4,4,0,0,0,0,0,34
violent-crime,Crawford County Sheriff's Office,CRAWFORD,MI,Michigan,44.659943,-84.71715,0,3,3,0,2,0,0,0,0,0,0,8
property-crime,Sterling Heights Police Department,MACOMB,MI,Michigan,42.59104,-83.01116,3,138,261,134,74,56,16,2,0,0,151,835
violent-crime,Sterling Heights Police Department,MACOMB,MI,Michigan,42.59104,-83.01116,3,13,65,37,25,18,6,0,0,0,33,200
property-crime,Lansing Township Police Department,INGHAM,MI,Michigan,42.733852,-84.59349,1,41,63,43,20,19,3,2,0,23,23,238
violent-crime,Lansing Township Police Department,INGHAM,MI,Michigan,42.733852,-84.59349,0,10,22,16,7,6,1,0,0,0,1,63
property-crime,Au Gres Police Department,ARENAC,MI,Michigan,44.03687,-83.740675,0,0,1,0,0,0,0,0,0,0,0,1
property-crime,Stanton Police Department,MONTCALM,MI,Michigan,43.312782,-85.149468,0,0,0,1,0,0,0,0,0,0,0,1
violent-crime,Stanton Police Department,MONTCALM,MI,Michigan,43.312782,-85.149468,0,0,1,0,0,0,0,0,0,0,0,1
property-crime,Niles Police Department,BERRIEN,MI,Michigan,41.819508,-86.23728,0,43,36,36,8,12,4,0,0,0,4,143
violent-crime,Niles Police Department,BERRIEN,MI,Michigan,41.819508,-86.23728,0,21,12,11,9,7,2,0,0,0,2,64
property-crime,Caro Police Department,TUSCOLA,MI,Michigan,43.488438,-83.39588,0,36,23,17,9,10,2,2,0,0,26,125
violent-crime,Caro Police Department,TUSCOLA,MI,Michigan,43.488438,-83.39588,0,4,4,5,0,0,1,0,0,0,0,14
property-crime,Tecumseh Police Department,LENAWEE,MI,Michigan,42.004158000000004,-83.9417,0,13,7,27,6,1,2,2,0,0,0,58
violent-crime,Tecumseh Police Department,LENAWEE,MI,Michigan,42.004158000000004,-83.9417,0,2,7,5,1,1,0,0,0,0,0,16
property-crime,Gladstone Police Department,DELTA,MI,Michigan,45.805101,-86.90137299999999,0,4,16,8,4,7,1,0,0,0,2,42
violent-crime,Gladstone Police Department,DELTA,MI,Michigan,45.805101,-86.90137299999999,0,1,0,1,0,1,0,0,0,0,0,3
property-crime,Negaunee Police Department,MARQUETTE,MI,Michigan,46.656628999999995,-87.58398199999999,2,13,7,6,0,2,1,0,0,0,0,31
violent-crime,Negaunee Police Department,MARQUETTE,MI,Michigan,46.656628999999995,-87.58398199999999,0,2,1,2,1,0,0,0,0,0,2,8
property-crime,Grayling Police Department,CRAWFORD,MI,Michigan,44.680208,-84.611132,1,2,22,12,1,1,0,1,0,0,0,40
violent-crime,Grayling Police Department,CRAWFORD,MI,Michigan,44.680208,-84.611132,0,5,2,2,2,2,0,0,0,0,0,13
property-crime,Bronson Police Department,BRANCH,MI,Michigan,41.871821999999995,-85.19467,0,12,5,2,0,2,0,0,1,0,2,24
violent-crime,Bronson Police Department,BRANCH,MI,Michigan,41.871821999999995,-85.19467,0,1,0,1,0,0,1,0,0,0,1,4
property-crime,Scottville Police Department,MASON,MI,Michigan,43.996635999999995,-86.750814,0,9,3,1,1,0,1,0,0,0,2,17
violent-crime,Scottville Police Department,MASON,MI,Michigan,43.996635999999995,-86.750814,0,4,0,0,0,0,0,0,0,0,0,4
property-crime,Cheboygan Police Department,CHEBOYGAN,MI,Michigan,45.47612,-84.495271,0,8,19,18,14,4,6,1,0,0,0,70
violent-crime,Cheboygan Police Department,CHEBOYGAN,MI,Michigan,45.47612,-84.495271,0,4,5,4,1,1,0,0,0,0,0,15
property-crime,Cadillac Police Department,WEXFORD,MI,Michigan,44.24953,-85.401596,0,31,48,45,13,6,7,1,1,0,2,154
violent-crime,Cadillac Police Department,WEXFORD,MI,Michigan,44.24953,-85.401596,2,10,22,25,18,3,0,0,0,0,1,81
property-crime,State Police: Iron County,IRON,MI,Michigan,46.170249,-88.540409,0,10,7,6,3,1,1,0,0,0,0,28
violent-crime,State Police: Iron County,IRON,MI,Michigan,46.170249,-88.540409,1,2,4,1,1,3,2,0,0,0,0,14
property-crime,Albion Police Department,CALHOUN,MI,Michigan,42.2453,-84.75329599999999,1,38,51,38,28,18,3,0,0,0,33,210
violent-crime,Albion Police Department,CALHOUN,MI,Michigan,42.2453,-84.75329599999999,0,11,25,21,12,12,5,0,0,0,33,119
property-crime,Eaton Rapids Police Department,EATON,MI,Michigan,42.589614000000005,-84.846524,0,13,12,11,3,2,0,0,0,0,1,42
violent-crime,Eaton Rapids Police Department,EATON,MI,Michigan,42.589614000000005,-84.846524,0,12,4,4,1,0,0,0,0,0,2,23
property-crime,Highland Park Police Department,WAYNE,MI,Michigan,42.407394000000004,-83.09832,0,20,43,29,25,20,5,2,0,1,39,184
violent-crime,Highland Park Police Department,WAYNE,MI,Michigan,42.407394000000004,-83.09832,0,11,68,29,19,12,7,0,0,1,35,182
property-crime,State Police: Leelanau County,LEELANAU,MI,Michigan,45.146182,-86.051574,0,2,2,2,2,0,0,0,0,0,0,8
violent-crime,State Police: Leelanau County,LEELANAU,MI,Michigan,45.146182,-86.051574,0,2,2,0,0,0,0,0,0,0,0,4
property-crime,Mecosta County Sheriff's Office,MECOSTA,MI,Michigan,43.696682,-85.4789,0,43,65,43,34,5,7,3,1,0,216,417
violent-crime,Mecosta County Sheriff's Office,MECOSTA,MI,Michigan,43.696682,-85.4789,1,34,52,46,21,24,2,3,0,0,3,186
property-crime,State Police: Keweenaw County,KEWEENAW,MI,Michigan,47.681974,-88.148797,0,1,0,1,0,0,1,0,0,0,0,3
property-crime,Mattawan Police Department,VAN BUREN,MI,Michigan,42.208187,-85.78815,0,0,5,0,2,4,0,0,0,0,3,14
violent-crime,Mattawan Police Department,VAN BUREN,MI,Michigan,42.208187,-85.78815,0,2,3,1,1,0,1,0,0,0,0,8
property-crime,Norton Shores Police Department,MUSKEGON,MI,Michigan,43.164673,-86.26404000000001,0,105,94,84,63,21,5,0,0,0,0,372
violent-crime,Norton Shores Police Department,MUSKEGON,MI,Michigan,43.164673,-86.26404000000001,0,7,13,7,2,4,0,0,0,0,0,33
property-crime,Manistee County Sheriff's Office,MANISTEE,MI,Michigan,44.272842,-86.27059,0,19,25,21,15,13,5,1,1,1,2,103
violent-crime,Manistee County Sheriff's Office,MANISTEE,MI,Michigan,44.272842,-86.27059,2,3,6,11,1,0,1,0,0,0,1,25
property-crime,New Baltimore Police Department,MACOMB,MI,Michigan,42.679012,-82.73422,0,4,16,10,1,3,0,1,0,0,60,95
violent-crime,New Baltimore Police Department,MACOMB,MI,Michigan,42.679012,-82.73422,0,4,4,1,5,1,0,1,0,0,1,17
property-crime,Genesee Township Police Department,GENESEE,MI,Michigan,43.11087,-83.61746,0,14,28,24,22,9,1,0,0,1,139,238
violent-crime,Genesee Township Police Department,GENESEE,MI,Michigan,43.11087,-83.61746,0,18,22,18,8,3,5,0,0,0,12,86
property-crime,Berrien County Sheriff's Office,BERRIEN,MI,Michigan,42.10951,-86.47704,2,45,75,89,24,12,1,1,0,0,4,253
violent-crime,Berrien County Sheriff's Office,BERRIEN,MI,Michigan,42.10951,-86.47704,0,16,43,32,20,3,5,1,0,0,3,123
property-crime,State Police: Antrim County,ANTRIM,MI,Michigan,45.005455,-85.175639,0,0,4,1,0,0,1,1,0,0,0,7
violent-crime,State Police: Antrim County,ANTRIM,MI,Michigan,45.005455,-85.175639,0,3,3,2,1,0,0,0,0,0,0,9
property-crime,Cass County Sheriff's Office,CASS,MI,Michigan,41.91624,-85.99945799999999,0,13,44,39,17,11,4,4,1,0,224,357
violent-crime,Cass County Sheriff's Office,CASS,MI,Michigan,41.91624,-85.99945799999999,0,15,9,6,1,3,4,0,0,0,10,48
property-crime,State Police: Alger County,ALGER,MI,Michigan,47.080077,-86.56410799999999,0,5,9,12,1,1,3,1,0,0,0,32
violent-crime,State Police: Alger County,ALGER,MI,Michigan,47.080077,-86.56410799999999,0,2,7,3,1,5,0,0,0,0,0,18
property-crime,Hart Police Department,OCEANA,MI,Michigan,43.706776,-86.36322,0,17,35,23,9,8,4,1,0,0,3,100
violent-crime,Hart Police Department,OCEANA,MI,Michigan,43.706776,-86.36322,0,3,1,5,0,3,0,0,0,0,0,12
property-crime,Barry County Sheriff's Office,BARRY,MI,Michigan,42.64864,-85.30355,0,40,25,26,14,12,1,0,0,2,18,138
violent-crime,Barry County Sheriff's Office,BARRY,MI,Michigan,42.64864,-85.30355,0,11,8,8,9,1,4,1,0,0,2,44
property-crime,New Lothrop Police Department,SHIAWASSEE,MI,Michigan,42.951545,-84.14635200000001,0,0,1,0,0,0,0,0,0,0,1,2
property-crime,Wayne Police Department,WAYNE,MI,Michigan,42.281940000000006,-83.37099,0,24,49,31,17,14,1,1,0,0,27,164
violent-crime,Wayne Police Department,WAYNE,MI,Michigan,42.281940000000006,-83.37099,4,39,60,28,13,10,6,2,1,0,28,191
property-crime,State Police: Washtenaw County,WASHTENAW,MI,Michigan,42.252327,-83.844634,0,23,22,19,9,6,4,0,0,0,0,83
violent-crime,State Police: Washtenaw County,WASHTENAW,MI,Michigan,42.252327,-83.844634,1,5,15,7,7,2,2,1,0,0,0,40
property-crime,Oscoda Township Police Department,IOSCO,MI,Michigan,44.40959,-83.32964,0,2,15,12,4,5,3,0,0,0,9,50
violent-crime,Oscoda Township Police Department,IOSCO,MI,Michigan,44.40959,-83.32964,0,2,10,6,3,7,0,0,0,0,0,28
property-crime,Barryton  Police Department,MECOSTA,MI,Michigan,43.635295,-85.332751,0,0,0,0,0,0,0,0,0,0,5,5
property-crime,State Police: Shiawassee County,SHIAWASSEE,MI,Michigan,42.951545,-84.14635200000001,0,37,37,47,23,16,5,1,0,0,0,166
violent-crime,State Police: Shiawassee County,SHIAWASSEE,MI,Michigan,42.951545,-84.14635200000001,0,17,26,19,4,5,0,0,0,0,0,71
property-crime,Luce County Sheriff's Office,LUCE,MI,Michigan,46.352745,-85.51368000000001,1,35,11,18,3,5,2,0,0,3,0,78
violent-crime,Luce County Sheriff's Office,LUCE,MI,Michigan,46.352745,-85.51368000000001,1,2,3,3,3,0,0,0,0,0,0,12
property-crime,State Police: Kalamazoo County,KALAMAZOO,MI,Michigan,42.246266,-85.532854,1,18,20,18,15,3,1,0,0,0,0,76
violent-crime,State Police: Kalamazoo County,KALAMAZOO,MI,Michigan,42.246266,-85.532854,0,11,16,4,6,3,0,0,0,0,0,40
property-crime,Saginaw Valley State University,SAGINAW,MI,Michigan,43.699711,-83.978701,0,8,3,0,0,0,1,0,0,0,32,44
violent-crime,Saginaw Valley State University,SAGINAW,MI,Michigan,43.699711,-83.978701,0,1,2,0,0,0,0,0,0,0,0,3
property-crime,Berrien Springs-Oronoko Township Police Department,BERRIEN,MI,Michigan,41.792639,-86.741822,0,8,8,11,5,3,0,0,0,0,1,36
violent-crime,Berrien Springs-Oronoko Township Police Department,BERRIEN,MI,Michigan,41.792639,-86.741822,0,2,1,2,2,1,0,0,0,0,0,8
property-crime,State Police: Iosco County,IOSCO,MI,Michigan,44.329482,-82.849447,0,32,20,26,17,11,5,0,0,0,1,112
violent-crime,State Police: Iosco County,IOSCO,MI,Michigan,44.329482,-82.849447,0,4,10,5,4,6,2,1,0,0,0,32
property-crime,Charlevoix County Sheriff's Office,CHARLEVOIX,MI,Michigan,45.310783,-85.26409,0,19,10,9,6,1,0,1,0,0,0,46
violent-crime,Charlevoix County Sheriff's Office,CHARLEVOIX,MI,Michigan,45.310783,-85.26409,0,8,6,4,1,1,0,0,0,0,0,20
property-crime,Caspian-Gaastra Police Department,IRON,MI,Michigan,46.170249,-88.540409,0,0,1,1,0,0,0,0,0,0,0,2
violent-crime,Caspian-Gaastra Police Department,IRON,MI,Michigan,46.170249,-88.540409,0,1,0,1,0,0,0,0,0,0,0,2
property-crime,Rockford Police Department,KENT,MI,Michigan,43.032497,-85.547446,0,26,5,14,2,2,2,0,2,0,0,53
violent-crime,Rockford Police Department,KENT,MI,Michigan,43.032497,-85.547446,0,6,1,0,1,0,0,0,0,0,0,8
property-crime,Wixom Police Department,OAKLAND,MI,Michigan,42.524395,-83.53376999999999,0,16,27,19,8,12,3,1,0,0,18,104
violent-crime,Wixom Police Department,OAKLAND,MI,Michigan,42.524395,-83.53376999999999,0,7,12,3,3,0,1,0,0,0,11,37
property-crime,Gladwin Police Department,GLADWIN,MI,Michigan,43.98084,-84.49813,0,65,8,8,10,9,2,1,1,0,0,104
violent-crime,Gladwin Police Department,GLADWIN,MI,Michigan,43.98084,-84.49813,0,0,2,1,3,0,0,0,0,0,0,6
property-crime,Walled Lake Police Department,OAKLAND,MI,Michigan,42.660452,-83.38421,0,3,4,4,2,3,2,1,0,0,7,26
violent-crime,Walled Lake Police Department,OAKLAND,MI,Michigan,42.660452,-83.38421,0,2,4,1,2,2,0,0,0,0,3,14
property-crime,Branch County Sheriff's Office,BRANCH,MI,Michigan,41.918585,-85.066523,0,5,9,3,1,5,0,0,0,0,0,23
violent-crime,Branch County Sheriff's Office,BRANCH,MI,Michigan,41.918585,-85.066523,0,4,2,2,0,0,0,0,0,0,0,8
property-crime,Richmond Police Department,ST CLAIR; MACOMB,MI,Michigan,42.809315000000005,-82.74824,0,5,7,5,8,6,3,0,0,0,4,38
violent-crime,Richmond Police Department,ST CLAIR; MACOMB,MI,Michigan,42.809315000000005,-82.74824,0,2,5,5,2,0,1,0,1,0,1,17
property-crime,Alma Police Department,GRATIOT,MI,Michigan,43.292326,-84.60469,2,17,30,7,4,1,3,0,0,0,5,69
violent-crime,Alma Police Department,GRATIOT,MI,Michigan,43.292326,-84.60469,0,10,7,8,1,1,0,0,0,0,2,29
property-crime,Gogebic County Sheriff's Office,GOGEBIC,MI,Michigan,46.481934,-90.05244,0,9,15,12,7,3,3,0,0,0,13,62
violent-crime,Gogebic County Sheriff's Office,GOGEBIC,MI,Michigan,46.481934,-90.05244,0,0,6,2,1,0,0,0,0,0,0,9
property-crime,Ecorse Police Department,WAYNE,MI,Michigan,42.284664,-83.261953,0,14,26,21,12,5,1,0,0,0,22,101
violent-crime,Ecorse Police Department,WAYNE,MI,Michigan,42.284664,-83.261953,0,11,44,20,21,10,4,0,0,0,37,147
property-crime,Decatur Police Department,VAN BUREN,MI,Michigan,42.10887,-85.97449,1,13,20,6,4,1,0,0,0,0,3,48
violent-crime,Decatur Police Department,VAN BUREN,MI,Michigan,42.10887,-85.97449,0,3,3,1,1,2,1,0,0,0,1,12
property-crime,Walker Police Department,KENT,MI,Michigan,43.032497,-85.547446,1,130,124,68,43,17,8,1,0,0,84,476
violent-crime,Walker Police Department,KENT,MI,Michigan,43.032497,-85.547446,0,8,18,7,2,5,2,0,0,0,5,47
property-crime,Luna Pier Police Department,MONROE,MI,Michigan,41.810103999999995,-83.44246,0,0,0,4,1,2,0,0,0,0,0,7
violent-crime,Luna Pier Police Department,MONROE,MI,Michigan,41.810103999999995,-83.44246,0,2,5,0,1,0,0,0,0,0,0,8
property-crime,State Police: Lapeer County,LAPEER,MI,Michigan,43.042590000000004,-83.3203,0,28,15,10,8,11,4,0,0,0,0,76
violent-crime,State Police: Lapeer County,LAPEER,MI,Michigan,43.042590000000004,-83.3203,0,7,7,4,4,2,1,0,0,0,0,25
property-crime,Napoleon Township Police Department,JACKSON,MI,Michigan,42.248474,-84.420868,0,24,13,3,2,0,0,0,0,0,2,44
violent-crime,Napoleon Township Police Department,JACKSON,MI,Michigan,42.248474,-84.420868,0,0,1,0,1,0,0,0,0,0,0,2
property-crime,State Police: Kent County,KENT,MI,Michigan,43.127083,-85.55078,0,10,0,6,0,1,0,0,0,0,0,17
violent-crime,State Police: Kent County,KENT,MI,Michigan,43.127083,-85.55078,0,7,10,4,3,2,0,0,0,2,0,28
property-crime,Delta County Sheriff's Office,DELTA,MI,Michigan,45.746346,-87.0506,0,2,5,10,3,4,0,0,0,0,0,24
violent-crime,Delta County Sheriff's Office,DELTA,MI,Michigan,45.746346,-87.0506,0,3,0,2,0,0,0,0,0,0,0,5
property-crime,Birmingham Police Department,OAKLAND,MI,Michigan,42.660452,-83.38421,0,31,17,21,7,7,0,4,1,0,21,109
violent-crime,Birmingham Police Department,OAKLAND,MI,Michigan,42.660452,-83.38421,0,2,2,2,1,0,1,0,0,0,4,12
property-crime,Shelby Township Police Department,MACOMB,MI,Michigan,42.681909999999995,-83.03435,0,41,104,56,31,16,7,2,0,0,32,289
violent-crime,Shelby Township Police Department,MACOMB,MI,Michigan,42.681909999999995,-83.03435,0,15,27,15,11,9,3,2,0,0,9,91
property-crime,State Police: Berrien County,BERRIEN,MI,Michigan,41.94767,-86.55906999999999,1,17,29,29,13,5,4,2,0,0,1,101
violent-crime,State Police: Berrien County,BERRIEN,MI,Michigan,41.94767,-86.55906999999999,0,11,8,15,3,2,1,1,0,0,0,41
property-crime,Hazel Park Police Department,OAKLAND,MI,Michigan,42.46143,-83.10356999999999,0,30,72,52,35,21,7,0,0,1,26,244
violent-crime,Hazel Park Police Department,OAKLAND,MI,Michigan,42.46143,-83.10356999999999,0,15,21,15,7,4,1,1,0,0,4,68
property-crime,State Police: Chippewa County,CHIPPEWA,MI,Michigan,46.321819,-84.52063000000001,0,15,8,8,7,3,1,0,0,0,0,42
violent-crime,State Police: Chippewa County,CHIPPEWA,MI,Michigan,46.321819,-84.52063000000001,0,4,18,11,5,3,1,1,0,0,0,43
property-crime,Montague Police Department,MUSKEGON,MI,Michigan,43.41758,-86.35529,0,8,2,5,2,0,0,0,0,0,0,17
violent-crime,Montague Police Department,MUSKEGON,MI,Michigan,43.41758,-86.35529,0,0,1,1,0,1,0,0,0,0,0,3
property-crime,West Bloomfield Township Police Department,OAKLAND,MI,Michigan,42.660452,-83.38421,2,44,56,46,22,16,12,0,0,0,53,251
violent-crime,West Bloomfield Township Police Department,OAKLAND,MI,Michigan,42.660452,-83.38421,0,3,13,5,11,4,2,0,1,0,2,41
property-crime,State Police: Midland County,MIDLAND,MI,Michigan,43.432793,-83.93655,0,2,1,1,3,0,0,0,0,0,0,7
violent-crime,State Police: Midland County,MIDLAND,MI,Michigan,43.432793,-83.93655,0,3,2,2,0,1,0,0,0,0,0,8
property-crime,State Police: Macomb County,MACOMB,MI,Michigan,42.809315000000005,-82.74824,0,14,11,11,1,4,1,0,0,0,2,44
violent-crime,State Police: Macomb County,MACOMB,MI,Michigan,42.809315000000005,-82.74824,0,9,21,16,10,9,0,0,0,0,2,67
property-crime,Cass City Police Department,TUSCOLA,MI,Michigan,43.487902000000005,-83.43661800000001,0,6,10,7,2,1,2,0,0,0,0,28
violent-crime,Cass City Police Department,TUSCOLA,MI,Michigan,43.487902000000005,-83.43661800000001,0,1,0,1,0,1,0,0,0,0,0,3
property-crime,Arenac County Sheriff's Office,ARENAC,MI,Michigan,44.03687,-83.740675,0,6,9,12,4,2,1,0,0,4,1,39
violent-crime,Arenac County Sheriff's Office,ARENAC,MI,Michigan,44.03687,-83.740675,0,7,5,7,1,5,2,1,0,0,1,29
property-crime,Bellaire Police Department,ANTRIM,MI,Michigan,45.005455,-85.175639,0,0,0,2,0,2,0,0,0,0,0,4
property-crime,Ionia Police Department,IONIA,MI,Michigan,42.982203999999996,-85.05866999999999,0,53,27,23,7,4,2,0,0,0,1,117
violent-crime,Ionia Police Department,IONIA,MI,Michigan,42.982203999999996,-85.05866999999999,1,14,5,4,3,0,0,1,0,0,4,32
property-crime,Leelanau County Sheriff's Office,LEELANAU,MI,Michigan,45.146182,-86.051574,0,5,8,9,2,5,1,1,0,0,36,67
violent-crime,Leelanau County Sheriff's Office,LEELANAU,MI,Michigan,45.146182,-86.051574,0,2,1,1,0,0,0,1,0,0,0,5
property-crime,Alpena Police Department,ALPENA,MI,Michigan,45.066185,-83.438034,0,95,39,14,4,3,9,0,0,0,2,166
violent-crime,Alpena Police Department,ALPENA,MI,Michigan,45.066185,-83.438034,0,17,14,3,4,5,0,0,0,0,1,44
property-crime,Ubly Police Department,HURON,MI,Michigan,43.907616,-82.857045,0,6,1,1,0,0,1,0,0,0,0,9
violent-crime,Ubly Police Department,HURON,MI,Michigan,43.907616,-82.857045,0,2,0,1,0,0,0,0,0,0,0,3
property-crime,Buchanan Police Department,BERRIEN,MI,Michigan,41.82734,-86.36131,0,10,16,9,11,5,0,0,1,0,0,52
violent-crime,Buchanan Police Department,BERRIEN,MI,Michigan,41.82734,-86.36131,0,4,2,6,0,2,0,0,0,0,1,15
property-crime,"Richland Township, Saginaw County Police Department",SAGINAW,MI,Michigan,43.42465,-84.22981999999999,0,5,2,0,1,0,0,0,0,0,0,8
property-crime,Montmorency County Sheriff's Office,MONTMORENCY,MI,Michigan,45.007317,-84.17164,0,5,5,1,0,1,0,0,0,0,0,12
violent-crime,Montmorency County Sheriff's Office,MONTMORENCY,MI,Michigan,45.007317,-84.17164,0,0,0,0,1,0,0,0,0,0,0,1
property-crime,Blackman Township Police Department,JACKSON,MI,Michigan,42.289722,-84.38438000000001,0,195,269,224,109,80,14,8,0,0,8,907
violent-crime,Blackman Township Police Department,JACKSON,MI,Michigan,42.289722,-84.38438000000001,1,20,33,23,15,8,3,0,1,0,4,108
property-crime,Michigan State University,INGHAM,MI,Michigan,42.603534,-84.373811,1,83,34,10,11,6,3,0,0,4,505,657
violent-crime,Michigan State University,INGHAM,MI,Michigan,42.603534,-84.373811,0,16,8,5,1,0,0,0,0,0,5,35
property-crime,Van Buren County Sheriff's Office,VAN BUREN,MI,Michigan,42.2187,-85.89084,2,40,91,53,42,20,2,3,0,1,125,379
violent-crime,Van Buren County Sheriff's Office,VAN BUREN,MI,Michigan,42.2187,-85.89084,1,22,30,19,16,7,5,1,0,1,1,103
property-crime,State Police: St. Clair County,ST CLAIR,MI,Michigan,42.423737,-83.460175,0,5,11,13,8,1,1,0,0,0,0,39
violent-crime,State Police: St. Clair County,ST CLAIR,MI,Michigan,42.423737,-83.460175,0,5,4,4,4,1,0,0,0,0,0,18
property-crime,Ludington Police Department,MASON,MI,Michigan,43.952366,-86.446396,2,22,32,20,10,6,0,0,0,0,4,96
violent-crime,Ludington Police Department,MASON,MI,Michigan,43.952366,-86.446396,0,7,14,7,6,3,0,1,0,0,1,39
property-crime,Carleton Police Department,MONROE,MI,Michigan,41.916097,-83.48710600000001,0,9,7,1,0,1,0,0,0,0,1,19
violent-crime,Carleton Police Department,MONROE,MI,Michigan,41.916097,-83.48710600000001,0,0,3,1,1,0,0,0,0,0,0,5
property-crime,Leslie Police Department,INGHAM,MI,Michigan,42.603534,-84.373811,0,0,4,1,0,0,0,0,0,0,1,6
violent-crime,Leslie Police Department,INGHAM,MI,Michigan,42.603534,-84.373811,0,0,3,2,1,0,0,0,0,0,0,6
property-crime,Manistee Police Department,MANISTEE,MI,Michigan,44.246582000000004,-86.3238,0,22,22,16,4,1,1,0,1,0,0,67
violent-crime,Manistee Police Department,MANISTEE,MI,Michigan,44.246582000000004,-86.3238,1,3,7,3,2,1,0,0,0,0,0,17
property-crime,University of Michigan: Flint,GENESEE,MI,Michigan,43.021077000000005,-83.706372,0,7,8,3,2,2,1,0,0,0,2,25
violent-crime,University of Michigan: Flint,GENESEE,MI,Michigan,43.021077000000005,-83.706372,0,0,0,1,0,0,0,0,0,0,0,1
property-crime,Chocolay Township Police Department,MARQUETTE,MI,Michigan,46.49176,-87.35481,0,14,7,4,1,2,0,0,0,0,6,34
violent-crime,Chocolay Township Police Department,MARQUETTE,MI,Michigan,46.49176,-87.35481,0,0,5,5,0,6,0,0,0,0,0,16
property-crime,West Branch Police Department,OGEMAW,MI,Michigan,44.276413,-84.23569,0,3,4,4,1,6,0,0,0,0,2,20
violent-crime,West Branch Police Department,OGEMAW,MI,Michigan,44.276413,-84.23569,0,3,3,0,0,0,0,0,0,0,0,6
property-crime,Bancroft Police Department,SHIAWASSEE,MI,Michigan,42.951545,-84.14635200000001,0,0,0,0,0,0,0,0,0,0,0,0
property-crime,Center Line Police Department,MACOMB,MI,Michigan,42.477385999999996,-83.02923,0,18,26,9,7,12,3,0,0,0,29,104
violent-crime,Center Line Police Department,MACOMB,MI,Michigan,42.477385999999996,-83.02923,1,6,4,8,4,1,2,0,0,0,4,30
property-crime,Mount Pleasant Police Department,ISABELLA,MI,Michigan,43.597167999999996,-84.76741,0,36,46,28,11,5,0,1,0,0,1,128
violent-crime,Mount Pleasant Police Department,ISABELLA,MI,Michigan,43.597167999999996,-84.76741,2,17,23,6,8,3,1,0,0,0,0,60
property-crime,Jackson Police Department,JACKSON,MI,Michigan,42.245647,-84.40347,3,188,198,155,76,48,16,0,0,0,6,690
violent-crime,Jackson Police Department,JACKSON,MI,Michigan,42.245647,-84.40347,2,79,99,58,41,15,9,1,0,0,0,304
property-crime,Canton Township Police Department,WAYNE,MI,Michigan,42.29957,-83.4868,2,192,239,174,98,60,16,1,0,0,104,886
violent-crime,Canton Township Police Department,WAYNE,MI,Michigan,42.29957,-83.4868,0,25,43,23,22,7,1,4,0,0,4,129
property-crime,Kalamazoo County Sheriff's Office,KALAMAZOO,MI,Michigan,42.277347999999996,-85.54824,4,291,429,278,157,70,12,3,0,0,11,1255
violent-crime,Kalamazoo County Sheriff's Office,KALAMAZOO,MI,Michigan,42.277347999999996,-85.54824,4,39,75,50,23,16,4,0,0,0,5,216
property-crime,Thomas Township Police Department,SAGINAW,MI,Michigan,43.41892,-84.07704,0,27,28,16,14,5,0,1,1,0,17,109
violent-crime,Thomas Township Police Department,SAGINAW,MI,Michigan,43.41892,-84.07704,0,2,4,1,2,3,0,0,0,0,0,12
property-crime,Central Michigan University,ISABELLA,MI,Michigan,43.645233000000005,-84.839424,0,16,7,0,0,1,0,0,0,2,0,26
violent-crime,Central Michigan University,ISABELLA,MI,Michigan,43.645233000000005,-84.839424,0,2,1,0,0,0,0,0,0,0,0,3
property-crime,Shiawassee County Sheriff's Office,SHIAWASSEE,MI,Michigan,42.980907,-84.11646999999999,0,17,23,20,15,6,1,0,0,0,0,82
violent-crime,Shiawassee County Sheriff's Office,SHIAWASSEE,MI,Michigan,42.980907,-84.11646999999999,1,7,5,1,3,1,1,0,1,0,0,20
