agency_type_name,state_name,county_name,latitude,longitude
County,Texas,KING,33.614159,-100.250548
County,Texas,UVALDE,29.211359,-99.78582
County,Texas,SCURRY,32.71602,-100.91133
County,Texas,ROBERTSON,31.025481,-96.51494100000001
County,Texas,JACK,33.232409999999994,-98.17188399999999
County,Texas,PRESIDIO,30.005891,-104.261619
County,Texas,WEBB,27.770584000000003,-99.32664100000001
County,Texas,CALHOUN,28.445365999999996,-96.5833
County,Texas,TERRY,33.171229,-102.33928399999999
County,Texas,LA SALLE,28.351097999999997,-99.096774
County,Texas,JONES,32.743709,-99.87443
County,Texas,COMAL,29.681767999999998,-98.15045
County,Texas,LLANO,30.707584000000004,-98.68469
County,Texas,CROCKETT,30.717532000000002,-101.404211
County,Texas,STEPHENS,32.755444,-98.903915
County,Texas,EL PASO,31.766403000000004,-106.24139
County,Texas,VAL VERDE,29.884960999999997,-101.14664599999999
County,Texas,CHEROKEE,31.806877000000004,-95.15124
County,Texas,SHACKELFORD,32.74382,-99.34700500000001
County,Texas,ROBERTS,35.836216,-100.80755500000001
County,Texas,COMANCHE,31.911995,-98.60174
County,Texas,STERLING,31.835774,-101.054911
County,Texas,LAVACA,29.382578000000002,-96.923633
County,Texas,MASON,30.703232,-99.237608
County,Texas,HILL,31.982681,-97.130668
County,Texas,JOHNSON,32.372623,-97.38898499999999
County,Texas,CRANE,31.422796,-102.487774
County,Texas,TERRELL,30.232332,-102.072539
County,Texas,ANDERSON,31.765324,-95.61932
County,Texas,COLLINGSWORTH,34.856037,-100.210915
County,Texas,UPSHUR,32.731873,-94.94445999999999
County,Texas,WOOD,32.783588,-95.382166
County,Texas,HUTCHINSON,35.837047,-101.362746
County,Texas,ERATH,32.212708,-98.19037
County,Texas,LYNN,33.178412,-101.818493
County,Texas,REFUGIO,28.312715999999998,-97.161366
County,Texas,TITUS,33.214599,-94.96678299999999
County,Texas,STONEWALL,33.17958,-100.253807
County,Texas,JIM WELLS,27.753183,-98.06999
County,Texas,LEE,30.321105,-96.976365
County,Texas,FRANKLIN,33.175846,-95.219066
County,Texas,POLK,30.723753000000002,-94.932846
County,Texas,COTTLE,34.091906,-100.276442
County,Texas,JIM HOGG,27.306555,-98.67707
County,Texas,IRION,31.303424,-100.98130400000001
County,Texas,UPTON,31.353849,-102.042013
County,Texas,REEVES,31.308365999999996,-103.71270600000001
County,Texas,LUBBOCK,33.611469,-101.81994399999999
County,Texas,LEON,31.300493,-95.995622
County,Texas,POTTER,35.398675,-101.893804
County,Texas,SUTTON,30.572646999999996,-100.6448
County,Texas,FALLS,31.251929999999998,-96.934127
County,Texas,CLAY,33.81556,-98.19413
County,Texas,ANDREWS,32.312258,-102.640206
County,Texas,THROCKMORTON,33.170712,-99.206137
County,Texas,COLORADO,29.706219,-96.55281
County,Texas,BOSQUE,31.900764000000002,-97.637632
County,Texas,HENDERSON,32.206593,-95.84668
County,Texas,JEFFERSON,30.079503999999996,-94.09442
County,Texas,TARRANT,32.755309999999994,-97.33483000000001
County,Texas,CASS,33.083698,-94.357579
County,Texas,SAN JACINTO,30.574388,-95.163137
County,Texas,RED RIVER,33.61365,-95.05185
County,Texas,NUECES,27.738128999999997,-97.51844100000001
County,Texas,DONLEY,34.955036,-100.815846
County,Texas,YOAKUM,33.162397999999996,-102.83224200000001
County,Texas,MEDINA,29.357111,-99.15548000000001
County,Texas,LIBERTY,30.162189,-94.822682
County,Texas,FANNIN,33.593708,-96.22702
County,Texas,KNOX,33.616657000000004,-99.747112
County,Texas,CORYELL,31.434006,-97.75149499999999
County,Texas,KENEDY,26.894147999999998,-97.586519
County,Texas,WALKER,30.742157000000002,-95.53279
County,Texas,ANGELINA,31.251951000000002,-94.611056
County,Texas,SWISHER,34.537178000000004,-101.76388
County,Texas,GONZALES,29.468704,-97.477738
County,Texas,TAYLOR,32.295054,-99.893644
County,Texas,KENT,33.184779999999996,-100.76971999999999
County,Texas,BOWIE,33.405632000000004,-94.04313
County,Texas,SAN PATRICIO,28.011785999999997,-97.517162
County,Texas,REAL,29.82303,-99.80530300000001
County,Texas,BAILEY,34.224266,-102.72718
County,Texas,LIMESTONE,31.51512,-96.51308
County,Texas,JEFF DAVIS,30.617341999999997,-104.187821
County,Texas,KLEBERG,27.438734999999998,-97.66062
County,Texas,ARANSAS,28.025509000000003,-97.0525
